country_iso3,country_name,indicator,indicator_name,status,year,gni_per_capita_atlas_usd,api_last_updated,source_url,source_name,api_query_url,source_page_url,captured_at,notes
DJI,Djibouti,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,3960,2026-07-13,https://api.worldbank.org/v2/country/DJI/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
DZA,Algeria,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,5850,2026-07-13,https://api.worldbank.org/v2/country/DZA/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
EGY,"Egypt, Arab Rep.",NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,3260,2026-07-13,https://api.worldbank.org/v2/country/EGY/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
ERI,Eritrea,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2011,650,2026-07-13,https://api.worldbank.org/v2/country/ERI/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,"Latest non-empty observation returned by the World Bank API; observation year is retained. Last available year 2011 is older than the five-calendar-year current-comparison window; retained for transparency, excluded from current affordability calculations."
ETH,Ethiopia,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,1110,2026-07-13,https://api.worldbank.org/v2/country/ETH/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
GAB,Gabon,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,8090,2026-07-13,https://api.worldbank.org/v2/country/GAB/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
GHA,Ghana,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,2630,2026-07-13,https://api.worldbank.org/v2/country/GHA/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
GIN,Guinea,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,1730,2026-07-13,https://api.worldbank.org/v2/country/GIN/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
GMB,"Gambia, The",NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,930,2026-07-13,https://api.worldbank.org/v2/country/GMB/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
GNB,Guinea-Bissau,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,1090,2026-07-13,https://api.worldbank.org/v2/country/GNB/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
