Model,Capability (index),"Cost of standard workload, USD",Capability basis
"Claude Fable 5.1, GPT-6 Astra",53.4,$22.50,current
Claude Opus 5 (routed),50.8,$4.50,current
Claude Opus 5,50.8,$11.25,current
GPT-5.6 Sol,47.0,$12.50,current
Grok 4.6,44.3,$3.50,current
Kimi K3 (max),43.6,$6.75,current
GPT-5.6 Terra,42.1,$6.25,current
Gemini 3.8 Flash,40.9,$1.69,current
GPT-5.6 Luna,37.3,$2.50,current
DeepSeek V4 Pro 0813 (max),36.0,$1.16,current
